user_id,first_name,To,From,Subject,body
511,Seth,Seth <SethJRoberts@jourrapide.com>,sanjmeh@gmail.com,Your total count of interactions till date is 51,"Hi, Seth.
Your Grasp Index as of today is 15.81%.
Thanks for participating in the class!
"
512,Sharon,Sharon <SharonAPrice@jourrapide.com>,sanjmeh@gmail.com,Your total count of interactions till date is 48,"Hi, Sharon.
Your Grasp Index as of today is 12.35%.
Thanks for participating in the class!
"
513,William,William <WilliamJHopper@armyspy.com>,sanjmeh@gmail.com,Your total count of interactions till date is 28,"Hi, William.
Your Grasp Index as of today is 44.29%.
Thanks for participating in the class!
"
514,Clarence,Clarence <ClarenceCBrown@rhyta.com>,sanjmeh@gmail.com,Your total count of interactions till date is 15,"Hi, Clarence.
Your Grasp Index as of today is 16.67%.
Thanks for participating in the class!
"
515,Peggy,Peggy <nagesh@mindshiftapps.com>,sanjmeh@gmail.com,Your total count of interactions till date is 17,"Hi, Peggy.
Your Grasp Index as of today is 9.38%.
Thanks for participating in the class!
"
516,Marshall,Marshall <MarshallKVance@einrot.com>,sanjmeh@gmail.com,Your total count of interactions till date is 16,"Hi, Marshall.
Your Grasp Index as of today is 9.38%.
Thanks for participating in the class!
"
517,Paul,Paul <PaulBBeltz@superrito.com>,sanjmeh@gmail.com,Your total count of interactions till date is 16,"Hi, Paul.
Your Grasp Index as of today is 1.56%.
Thanks for participating in the class!
"
518,Ernestine,Ernestine <ErnestineDWalker@fleckens.hu>,sanjmeh@gmail.com,Your total count of interactions till date is 17,"Hi, Ernestine.
Your Grasp Index as of today is 14.71%.
Thanks for participating in the class!
"
519,Steve,Steve <steve@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 22,"Hi, Steve.
Your Grasp Index as of today is 17.11%.
Thanks for participating in the class!
"
520,Mark,Mark <mark@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 19,"Hi, Mark.
Your Grasp Index as of today is 33.33%.
Thanks for participating in the class!
"
521,David,David <David@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 36,"Hi, David.
Your Grasp Index as of today is 42.29%.
Thanks for participating in the class!
"
522,Mike,Mike <Mike@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 17,"Hi, Mike.
Your Grasp Index as of today is 22.40%.
Thanks for participating in the class!
"
523,Robert,Robert <Thomos@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 19,"Hi, Robert.
Your Grasp Index as of today is 12.50%.
Thanks for participating in the class!
"
524,Daniel,Daniel <Daniel@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 2816,"Hi, Daniel.
Your Grasp Index as of today is 19.47%.
Thanks for participating in the class!
"
525,Craig,Craig <craig@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 2720,"Hi, Craig.
Your Grasp Index as of today is 25.69%.
Thanks for participating in the class!
"
526,Alex,Alex <alex@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 4138,"Hi, Alex.
Your Grasp Index as of today is 41.61%.
Thanks for participating in the class!
"
527,Nathan,Nathan <nathan@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 2181,"Hi, Nathan.
Your Grasp Index as of today is 37.98%.
Thanks for participating in the class!
"
528,Brett,Brett <brett@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 2620,"Hi, Brett.
Your Grasp Index as of today is 25.19%.
Thanks for participating in the class!
"
529,Ricky,Ricky <ricky@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1956,"Hi, Ricky.
Your Grasp Index as of today is 20.81%.
Thanks for participating in the class!
"
530,Stephen,Stephen <stephen@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1810,"Hi, Stephen.
Your Grasp Index as of today is 23.54%.
Thanks for participating in the class!
"
531,Darren,Darren <Darren@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 3168,"Hi, Darren.
Your Grasp Index as of today is 26.20%.
Thanks for participating in the class!
"
532,Tom,Tom <tom@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1770,"Hi, Tom.
Your Grasp Index as of today is 30.71%.
Thanks for participating in the class!
"
533,Arnold,Arnold <arnold@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 2094,"Hi, Arnold.
Your Grasp Index as of today is 29.85%.
Thanks for participating in the class!
"
534,shane,shane <shane@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1999,"Hi, shane.
Your Grasp Index as of today is 20.72%.
Thanks for participating in the class!
"
535,Mitchell,Mitchell <Mitchell@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 3009,"Hi, Mitchell.
Your Grasp Index as of today is 23.11%.
Thanks for participating in the class!
"
536,Brad,Brad <brad@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1469,"Hi, Brad.
Your Grasp Index as of today is 32.13%.
Thanks for participating in the class!
"
537,Peter,Peter <peter@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 2332,"Hi, Peter.
Your Grasp Index as of today is 21.13%.
Thanks for participating in the class!
"
538,Philip,Philip <philip@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1727,"Hi, Philip.
Your Grasp Index as of today is 31.53%.
Thanks for participating in the class!
"
539,Dhruv,Dhruv <dhruv96@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 1918,"Hi, Dhruv.
Your Grasp Index as of today is 28.11%.
Thanks for participating in the class!
"
540,Christopher,Christopher <Christopher@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1918,"Hi, Christopher.
Your Grasp Index as of today is 21.43%.
Thanks for participating in the class!
"
541,Brendon,Brendon <McCullum@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1805,"Hi, Brendon.
Your Grasp Index as of today is 20.24%.
Thanks for participating in the class!
"
542,Kane,Kane <Kane@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 156,"Hi, Kane.
Your Grasp Index as of today is 16.96%.
Thanks for participating in the class!
"
543,Ross,Ross <ROss@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 344,"Hi, Ross.
Your Grasp Index as of today is 38.48%.
Thanks for participating in the class!
"
544,Tim,Tim <tim@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 390,"Hi, Tim.
Your Grasp Index as of today is 53.07%.
Thanks for participating in the class!
"
545,Martin,Martin <martin@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 349,"Hi, Martin.
Your Grasp Index as of today is 47.44%.
Thanks for participating in the class!
"
546,Trent,Trent <trent@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 353,"Hi, Trent.
Your Grasp Index as of today is 54.91%.
Thanks for participating in the class!
"
547,Corey,Corey <corey@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 325,"Hi, Corey.
Your Grasp Index as of today is 31.76%.
Thanks for participating in the class!
"
548,Luke,Luke <luke@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 421,"Hi, Luke.
Your Grasp Index as of today is 82.16%.
Thanks for participating in the class!
"
549,Chris,Chris <chris@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 298,"Hi, Chris.
Your Grasp Index as of today is 24.53%.
Thanks for participating in the class!
"
550,Dwayne,Dwayne <dwayne@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 322,"Hi, Dwayne.
Your Grasp Index as of today is 34.19%.
Thanks for participating in the class!
"
551,James,James <james@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 350,"Hi, James.
Your Grasp Index as of today is 48.63%.
Thanks for participating in the class!
"
555,Josh,Josh <josh@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 2,"Hi, Josh.
Your Grasp Index as of today is 30.00%.
Thanks for participating in the class!
"
556,Pat,Pat <pat@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 4,"Hi, Pat.
Your Grasp Index as of today is 16.67%.
Thanks for participating in the class!
"
565,Blackwell,Blackwell <blackwell@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Blackwell.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
566,Kristen,Kristen <kristen@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Kristen.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
567,Nicole,Nicole <nicole@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Nicole.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
568,Jessica,Jessica <jessica@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Jessica.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
569,Sarah,Sarah <sarah@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 7,"Hi, Sarah.
Your Grasp Index as of today is 70.00%.
Thanks for participating in the class!
"
570,Rene,Rene <rene@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Rene.
Your Grasp Index as of today is 66.67%.
Thanks for participating in the class!
"
571,Holly,Holly <holly@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Holly.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
572,Alyssa,Alyssa <alyssa@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Alyssa.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
573,Julie,Julie <julie@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Julie.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
574,Delissa,Delissa <delissa@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Delissa.
Your Grasp Index as of today is 33.33%.
Thanks for participating in the class!
"
575,Erin,Erin <erin@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Erin.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
576,Megan,Megan <megan@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Megan.
Your Grasp Index as of today is 33.33%.
Thanks for participating in the class!
"
577,Elyse,Elyse <elyse@cuvox.de>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Elyse.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
578,Vibhu,Vibhu <vibhu6@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 83,"Hi, Vibhu.
Your Grasp Index as of today is 61.81%.
Thanks for participating in the class!
"
629,Donald,Donald <don@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 4,"Hi, Donald.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
630,Polly,Polly <polly@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 17,"Hi, Polly.
Your Grasp Index as of today is 42.50%.
Thanks for participating in the class!
"
631,Gary,Gary <gary@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 13,"Hi, Gary.
Your Grasp Index as of today is 11.11%.
Thanks for participating in the class!
"
632,Betty,Betty <betty@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 2,"Hi, Betty.
Your Grasp Index as of today is 80.00%.
Thanks for participating in the class!
"
634,Wendy,Wendy <wendy@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 15,"Hi, Wendy.
Your Grasp Index as of today is 36.39%.
Thanks for participating in the class!
"
635,Victoria,Victoria <victoria@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 6,"Hi, Victoria.
Your Grasp Index as of today is 25.00%.
Thanks for participating in the class!
"
637,Keith,Keith <keith@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 4,"Hi, Keith.
Your Grasp Index as of today is 80.00%.
Thanks for participating in the class!
"
640,Anne,Anne <ann@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 1,"Hi, Anne.
Your Grasp Index as of today is 60.00%.
Thanks for participating in the class!
"
643,Jennifer,Jennifer <jen@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 14,"Hi, Jennifer.
Your Grasp Index as of today is 28.57%.
Thanks for participating in the class!
"
645,Jeremy,Jeremy <jer@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 2,"Hi, Jeremy.
Your Grasp Index as of today is 120.00%.
Thanks for participating in the class!
"
653,Deborah,Deborah <deborah@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 2,"Hi, Deborah.
Your Grasp Index as of today is 200.00%.
Thanks for participating in the class!
"
665,Mabel,Mabel <mab@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 2,"Hi, Mabel.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
667,Julian,Julian <julie@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 2,"Hi, Julian.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
670,Melinda,Melinda <melinda@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 14,"Hi, Melinda.
Your Grasp Index as of today is 0.00%.
Thanks for participating in the class!
"
675,Toby,Toby <toby@gmail.com>,sanjmeh@gmail.com,Your total count of interactions till date is 10,"Hi, Toby.
Your Grasp Index as of today is 50.00%.
Thanks for participating in the class!
"
